id,filename,slug,title,hook,mechanic,family,theme,theme_jp,theme_source,style_pack,bgm_direction,variation,spice,duration_current,duration_target,needed_current,needed_action,priority,wave,batch,fix_items,keep_items,status,score_before,score_after,style_actual,notes
4,004-shooting-star.js,shooting-star,流れ星タップ,消える前につかまえる緊張感,aim_shoot,B,western,西部の荒野,assigned,70s MONO,melody(固有) / 代替bgm_tense|cute,変拍子型(間隔・速度が不規則に揺れる),サドンデス演出(達成目前の1ミスの緊張を煽る),12,13,1,再調整(1→尺10秒あたり3〜8アクション),P1,2,B01,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST(偽HI-SCORE) THEME DUR(12→13s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
5,005-balance-tilt.js,balance-tilt,天秤バランス,傾く天秤を左右タップで水平に保つ緊張感,balance,C,ninja,忍者屋敷,assigned,NEO-RETRO,melody(固有) / 代替bgm_tense,物量型(対象の数が増えていく),逆転ボーナス(残り3秒は得点2倍),5,18,,維持,P3,8,B78,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(5→18s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
6,006-bubble-pop.js,bubble-pop,バブルポップ,水面に達する前に弾ける気持ちよさ,aim_shoot,B,insect,昆虫の草むら,assigned,90s 16bit,melody(固有) / 代替bgm_tense|cute,加速型(テンポが徐々に上がる),二重課題(終盤たまに2つ同時に来る),15,17,1,再調整(1→尺10秒あたり3〜8アクション),P1,2,B03,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST(偽HI-SCORE) THEME DUR(15→17s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
7,007-shadow-drop.js,shadow-drop,シャドウドロップ,影にぴったり重なったらタップ！精度の達成感,timing_one_shot,A,factory,工場ライン,existing,80s NEON,melody(固有) / 代替bgm_tense|cute,フェイント型(偽の予兆・ダミーが混ざる),黄金ターゲット(稀に高得点のレアが出る),20,13,1,見直し(密度低: 尺に対して要求が少ない),P3,7,B64,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(20→13s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,工場のプレス成形ライン。落ちる部材を型(影)にぴたりと重ねる。
8,008-pulse-tap.js,pulse-tap,心拍タップ,脈打つリズムの頂点でタップする心地よさ,timing_one_shot,A,ocean,深海,assigned,90s 16bit,melody(固有) / 代替bgm_tense|cute,フェイント型(偽の予兆・ダミーが混ざる),フィーバータイム(中盤数秒の得点倍増),25,15,1,見直し(密度低: 尺に対して要求が少ない),P3,7,B65,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(25→15s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
9,009-gravity-flip.js,gravity-flip,重力反転,タップで上下を逆転させて壁をすり抜ける驚き,camera_run,C,ghost,おばけ屋敷,assigned,80s NEON,melody(固有) / 代替bgm_dark,物量型(対象の数が増えていく),コンボ倍率(連続成功でx2→x4→x8),,目視(15-25s),1,再調整(1→尺10秒あたり3〜8アクション),P1,2,B02,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,68,,,
10,010-crack-seal.js,crack-seal,ひびわれ封じ,じわじわ広がるひびを塞ぐ焦燥感,chase,C,custom,(既存世界観: 水圧がかかるダムの壁。広がるひびを塞いで決壊を防),existing,80s NEON,melody(固有) / 代替bgm_tense,加速型(テンポが徐々に上がる),コンボ倍率(連続成功でx2→x4→x8),5,22,,維持,P3,8,B69,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(5→22s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,水圧がかかるダムの壁。広がるひびを塞いで決壊を防ぐ。
11,011-pendulum-strike.js,pendulum-strike,振り子ストライク,ちょうど真下に来た瞬間を狙う快感,timing_one_shot,A,ninja,忍者屋敷,assigned,NEO-RETRO,melody(固有) / 代替bgm_tense|cute,変拍子型(間隔・速度が不規則に揺れる),黄金ターゲット(稀に高得点のレアが出る),20,8,1,見直し(密度低: 尺に対して要求が少ない),P3,7,B65,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(20→8s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
12,012-flash-recall.js,flash-recall,一瞬の記憶,チカッと光った場所を覚えて再現する挑戦,memory_sequence,F,custom,(既存世界観: ハッキング端末。点灯したメモリセルの並びを記憶し),existing,70s MONO,melody(固有) / 代替bgm_tense|cute,精度型(判定幅/隙間が狭まっていく),フィーバータイム(中盤数秒の得点倍増),20,20,1,再調整(1→尺10秒あたり3〜8アクション),P1,2,B01,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,ハッキング端末。点灯したメモリセルの並びを記憶して再入力する。
13,013-fill-stop.js,fill-stop,注ぎ止め,こぼれる寸前で止める最後の一秒,timing_one_shot,A,custom,(既存世界観: 酒場のバーカウンター。グラスをちょうど良い量で注),existing,2000s ARCADE POP,melody(固有) / 代替bgm_tense|cute,精度型(判定幅/隙間が狭まっていく),フィーバータイム(中盤数秒の得点倍増),25,10,1,見直し(密度低: 尺に対して要求が少ない),P3,7,B66,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(25→10s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,酒場のバーカウンター。グラスをちょうど良い量で注ぎ止める。
