# id	play	status
GH-3DS-0001	配られた14枚から、待ちが一番多くなる1枚を捨てる。正解で次、外すと終わり
GH-3DS-0002	部屋の中の怪しい1点を探して触る。3回外すと閉じ込められたまま終わり	built
GH-3DS-0003	鍵の掛け合わせを、手がかりの絵から3秒で選ぶ。開いたら次の部屋
GH-DC-0001	3つの返事から相手の表情が一番よくなる1つを選ぶ。5連続で正解すると告白が届く
GH-DC-0002	夏祭りの露店を回る順を決める。同じ露店に2度行くと相手が退屈して終わり
GH-DC-0003	相手が言い終わる前に、うなずくタイミングを合わせる。ずれると気まずくなる
GH-DC-0004	帰宅した相手が疲れているか浮かれているかを表情で見分けて、正しい一言を選ぶ
GH-DS-0001	山から1枚引いて、役が完成する牌なら鳴らす。違う牌を鳴くと終わり
GH-DS-0002	黒板の計算問題を、消される前に答える。3問間違えると放課後
GH-DS-0003	一瞬見えた絵の数を、右脳で答える。数え始めたら遅い
GH-DS-0004	コーナー手前でハンドルを切るタイミングを決める。早すぎると内側、遅すぎると外側に落ちる
GH-DS-0005	コースに沿って一時停止・左右確認を正しい順で押す。手順を飛ばすと不合格
GH-DS-0006	現場の中で「触ってはいけない」証拠と「持ち帰る」証拠を見分けて触る
GH-DS-0007	草むらを1回だけめくって虫を捕まえる。逃げられたら次の草むらへ
GH-DS-0008	台所の上をネズミが走る。皿が落ちる前に跳び越える	built
GH-DS-0009	装甲車が迫る。装甲の隙間が開く一瞬だけ撃つ
GH-DS-0010	単語のつづりが1文字ずつ増えていく。抜けた1文字を埋める
GH-DS-0011	手玉を弾いて、狙った的玉だけをポケットに落とす。手玉が落ちたら終わり
GH-DS-0012	戦艦の砲塔を回して着弾点を予測する。相手が動く前に3発当てる
GH-DS-0013	遮蔽物から遮蔽物へ、敵の射線が切れた瞬間に走る
GH-DS-0014	スタートの合図でクラッチを繋ぐ。早いとフライング、遅いと負け
GH-DS-0015	石を3つ揃えて消すと騎士が攻撃する。相手の体力を先に削り切る
GH-DS-0016	戦車の砲身を上げ下げして山越えの砲弾を当てる。3発以内
